chinese,english,math,society,science,PR,H_GPA,M,M_10,M_5,M_3,M_2
77.31,76.53,80.36,85.62,58.63,81,2.605,63.5,D,D,B,A
90.21,68.97,80.36,85.62,66.67,54,1.245,30.5,G,F,F,F
32.76,76.53,67.25,90.68,74.44,84,0.642,19,I,F,F,F
45.71,53.96,90.68,90.68,74.44,50,3.463,73,C,C,B,A
61.47,90.7,57.8,80.36,66.67,77,2.258,35,G,F,F,F
77.31,53.96,74.39,93.96,82.02,79,3.664,77.5,C,C,B,A
45.71,90.7,67.25,93.96,58.63,79,1.352,11.5,I,F,F,F
22.7,61.76,85.62,80.36,82.02,49,2.933,53.5,E,F,F,F
61.47,61.76,85.62,80.36,58.63,60,1.727,30,H,F,F,F
61.47,28.5,96.59,98.59,82.02,92,0.625,23,H,F,F,F
32.76,45.91,93.96,96.59,74.44,71,3.272,65.5,D,D,B,A
77.31,76.53,80.36,96.59,58.63,71,2.346,45.5,F,F,F,F
45.71,68.97,67.25,80.36,89.48,75,3.142,54.5,E,F,F,F
77.31,53.96,74.39,80.36,82.02,62,1.521,13.5,I,F,F,F
61.47,68.97,74.39,93.96,74.44,67,2.56,58,E,F,F,F
45.71,90.7,80.36,85.62,66.67,84,2.824,21.5,H,F,F,F
45.71,61.76,80.36,80.36,74.44,22,2.455,51,E,F,F,F
45.06,48.84,89.52,27.58,75.28,80,1.308,57.33,E,F,F,F
77.65,56.09,93.81,78.79,82.8,86,3.67,84.67,B,B,A,A
45.06,56.09,93.81,52.26,89.35,84,1.859,46,F,F,F,F
61.62,74.96,93.81,78.79,89.35,89,2.948,61.33,D,D,B,A
45.06,84.64,89.52,52.26,75.28,91,2.8,75,C,C,B,A
30.45,65.01,93.81,64.4,75.28,94,3.392,70.67,C,C,B,A
30.45,65.01,89.52,52.26,89.35,85,2.014,48.33,F,F,F,F
45.06,48.84,93.81,52.26,75.28,85,3.963,92.67,A,A,A,A
11.45,48.84,100,37.76,97.83,83,3.289,77,C,C,B,A
19.15,65.01,85.12,78.79,97.83,80,3.986,98,A,A,A,A
61.62,74.96,89.52,27.58,82.8,82,2.757,79.5,C,C,B,A
77.65,56.09,85.12,52.26,82.8,91,3,59,E,F,F,F
45.06,84.64,89.52,78.79,75.28,82,2.196,57.33,E,F,F,F
45.06,41.72,93.81,52.26,75.28,60,3.402,80.33,B,B,A,A
30.45,48.84,100,52.26,66.62,81,3.794,86.33,B,B,A,A
61.62,56.09,93.81,52.26,82.8,84,2,76.67,C,C,B,A
30.45,56.09,93.81,37.76,82.8,74,3.774,80,C,B,B,A
61.62,65.01,89.52,64.4,89.35,86,3.772,87,B,B,A,A
30.45,84.64,85.12,27.58,82.8,69,0.816,52.33,E,F,F,F
77.65,65.01,85.12,52.26,82.8,63,3.648,87,B,B,A,A
61.62,41.72,93.81,52.26,89.35,73,1.394,48.67,F,F,F,F
30.45,74.96,93.81,37.76,75.28,55,3.385,81.33,B,B,A,A
77.65,94.48,85.12,37.76,75.28,35,1.323,49,F,F,F,F
77.65,74.96,100,78.79,89.35,98,0.787,52,E,F,F,F
