chinese,english,math,society,science,PR,H_GPA,avg,grade_10,grade_5,grade_3,grade_2
30.45,74.96,93.81,37.76,75.28,55,3.385,84.4,B,B,A,A
77.65,94.48,85.12,37.76,75.28,35,1.323,49.8,F,F,F,F
77.65,74.96,100,78.79,89.35,98,0.787,50.8,E,F,F,F
61.62,41.72,85.12,78.79,82.8,96,3.042,73,C,C,B,A
77.65,29.35,89.52,52.26,82.8,80,2.059,62.67,D,D,B,A
61.62,41.72,85.12,52.26,82.8,80,3.013,70.6,C,C,B,A
30.45,48.84,89.52,52.26,75.28,80,2.014,64.3,D,D,B,A
77.65,48.84,85.12,64.4,82.8,75,2.402,56.1,E,F,F,F
77.65,65.01,85.12,64.4,66.62,89,2.116,56.6,E,F,F,F
77.65,56.09,85.12,52.26,66.62,89,1.466,48.33,F,F,F,F
45.06,41.72,89.52,88.53,75.28,80,3.6,87.2,B,B,A,A
19.15,56.09,85.12,27.58,56.84,83,3.444,82.3,B,B,A,A
30.45,29.35,89.52,64.4,75.28,83,1.914,64.5,D,D,B,A
61.62,65.01,89.52,52.26,56.84,80,1.487,50.7,E,F,F,F
61.62,48.84,85.12,27.58,66.62,85,1.584,55.33,E,F,F,F
61.62,48.84,85.12,37.76,75.28,85,2.697,59.4,E,F,F,F
19.15,29.35,93.81,27.58,45.98,69,1.551,47,F,F,F,F
45.06,35.1,85.12,64.4,75.28,91,1.469,48.88,F,F,F,F
11.45,16.34,93.81,27.58,89.35,79,1.969,62.3,D,D,B,A
61.62,65.01,85.12,64.4,82.8,81,0.887,46,F,F,F,F
45.06,41.72,85.12,27.58,75.28,73,3.051,73.5,C,C,B,A
45.06,74.96,85.12,52.26,75.28,72,3.855,86.3,B,B,A,A
90.05,74.96,79.25,78.79,66.62,91,2.533,67.4,D,D,B,A
77.65,41.72,89.52,64.4,66.62,90,1.4,39.6,G,F,F,F
45.06,23.15,85.12,64.4,89.35,90,2.301,61.6,D,D,B,A
77.65,74.96,79.25,64.4,75.28,87,2.647,72.2,C,C,B,A
30.45,29.35,85.12,18.88,75.28,71,2.513,71.1,C,C,B,A
45.06,35.1,85.12,37.76,75.28,81,1.723,57.78,E,F,F,F
30.45,65.01,89.52,37.76,45.98,65,3.064,69.4,D,D,B,A
61.62,35.1,89.52,78.79,82.8,78,2.28,64.9,D,D,B,A
30.45,35.1,93.81,27.58,56.84,65,2.959,64.6,D,D,B,A
45.06,56.09,89.52,64.4,56.84,92,2.896,70.9,C,C,B,A
30.45,56.09,85.12,52.26,75.28,84,1.75,56.3,E,F,F,F
30.45,48.84,89.52,52.26,75.28,54,3.567,79.6,C,C,B,A
30.45,41.72,85.12,27.58,45.98,84,1.666,59.9,E,F,F,F
30.45,56.09,85.12,10.35,45.98,62,3.289,75.7,C,C,B,A
61.62,74.96,79.25,78.79,75.28,81,2.583,71.6,C,C,B,A
45.06,35.1,89.52,27.58,75.28,71,1.18,44.75,F,F,F,F
19.15,35.1,85.12,27.58,66.62,68,1.45,50.11,E,F,F,F
