chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
82.09,69.37,74.13,64.27,83.4,73,2.206,99,A,A,A,A
67.22,69.37,74.13,80.24,83.4,73,2.584,95,A,A,A,A
35.34,78.6,87,50.26,68.01,84,1.911,58.5,E,F,F,F
67.22,87.21,74.13,64.27,75.84,68,3.068,78,C,C,B,A
35.34,52.09,97.89,14.27,68.01,68,2.263,76,C,C,B,A
50.6,43.76,95.53,64.27,83.4,57,3.702,77,C,C,B,A
9.9,90.7,85.62,57.51,82.02,91,2.462,77.5,C,C,B,A
77.31,37.93,93.96,93.96,82.02,91,3.711,70,D,C,B,A
45.71,61.76,85.62,90.68,89.48,86,2.504,49,F,F,F,F
61.47,68.97,90.68,80.36,66.67,86,2.547,70.5,C,C,B,A
32.76,61.76,93.96,74.39,66.67,69,3.168,99,A,A,A,A
45.71,83.45,85.62,90.68,89.48,82,2.696,93,A,A,A,A
9.9,83.45,80.36,74.39,74.44,96,3.95,64,D,D,B,A
22.7,76.53,96.59,93.96,74.44,93,2.563,54.5,E,F,F,F
32.76,61.76,85.62,80.36,89.48,75,2.777,39,G,F,F,F
61.47,61.76,90.68,85.62,74.44,89,3.726,51.5,E,F,F,F
61.47,53.96,90.68,98.59,95.5,80,2.15,20,I,F,F,F
32.76,68.97,85.62,93.96,82.02,90,3.174,43.5,F,F,F,F
77.31,45.91,85.62,93.96,74.44,78,1.321,92,A,A,A,A
45.71,90.7,85.62,96.59,82.02,50,3.016,94.5,A,A,A,A
45.71,76.53,85.62,90.68,66.67,79,3.76,50.5,E,F,F,F
61.47,53.96,85.62,96.59,89.48,71,3.78,63.5,D,D,B,A
77.31,28.5,93.96,85.62,74.44,49,3.724,74.5,C,C,B,A
32.76,45.91,85.62,93.96,74.44,92,2.808,71,C,C,B,A
90.21,45.91,80.36,90.68,95.5,89,2.428,64,D,D,B,A
61.47,76.53,85.62,85.62,58.63,82,3.073,67,D,D,B,A
32.76,76.53,74.39,90.68,74.44,82,2.128,68,D,D,B,A
32.76,83.45,74.39,85.62,58.63,80,2.258,78.5,C,C,B,A
32.76,61.76,85.62,80.36,74.44,87,2.85,93,A,A,A,A
45.71,68.97,80.36,90.68,58.63,78,2.359,49,F,F,F,F
61.47,61.76,74.39,93.96,74.44,83,2.191,75,C,C,B,A
61.47,37.93,80.36,96.59,89.48,80,2.341,94,A,A,A,A
61.47,53.96,80.36,93.96,82.02,80,1.215,66,D,D,B,A
15.22,61.76,80.36,93.96,74.44,62,2.487,68,D,D,B,A
